EmployeeID,FirstName,Gender,Department,JobRole,Location,HireDate,TerminationDate,Salary,PerformanceRating,Overtime,JobSatisfaction
1056,Employee_56,Male,HR,HR Executive,Sydney,2016-07-20,2021-05-03,140957,2,Yes,1
1057,Employee_57,Female,Finance,Accountant,Berlin,2019-08-31,2024-11-12,101049,5,Yes,5
1058,Employee_58,Female,Finance,Accountant,New York,2018-05-08,,161863,4,Yes,4
1059,Employee_59,Female,IT,Data Analyst,Toronto,2015-04-29,,137670,4,Yes,4
1060,Employee_60,Male,IT,System Admin,Sydney,2019-06-02,,136900,1,Yes,4
1061,Employee_61,Male,IT,Data Analyst,London,2017-12-01,,77742,4,No,3
1062,Employee_62,Female,Finance,Accountant,Toronto,2024-05-12,,148176,5,Yes,3
1063,Employee_63,Male,IT,System Admin,New York,2023-06-17,,76130,1,Yes,2
1064,Employee_64,Male,IT,Data Analyst,New York,2020-03-19,,150518,3,Yes,5
1065,Employee_65,Female,Operations,Operations Lead,London,2016-03-18,,171751,3,No,4
1066,Employee_66,Male,Marketing,Marketing Manager,New York,2016-02-22,,89529,5,Yes,5
1067,Employee_67,Female,Sales,Account Manager,Sydney,2022-06-02,,116317,3,Yes,4
1068,Employee_68,Female,Finance,Financial Analyst,Toronto,2022-02-16,,110258,2,No,2
1069,Employee_69,Female,Marketing,Content Strategist,Sydney,2020-03-19,,145817,5,No,3
1070,Employee_70,Female,IT,Software Engineer,Berlin,2017-09-25,,124691,5,No,3
1071,Employee_71,Male,Sales,Account Manager,Berlin,2020-06-20,2023-11-10,94608,3,No,5
1072,Employee_72,Male,Sales,Sales Rep,London,2017-09-15,,114038,5,Yes,4
1073,Employee_73,Male,Marketing,Content Strategist,Toronto,2016-01-17,2021-01-26,140673,2,No,5
1074,Employee_74,Female,HR,HR Executive,Sydney,2019-10-09,,122140,3,No,4
1075,Employee_75,Male,HR,HR Executive,Berlin,2016-05-09,,91359,1,Yes,2
1076,Employee_76,Female,IT,System Admin,Toronto,2023-02-15,,149641,5,No,1
1077,Employee_77,Female,IT,Data Analyst,London,2017-01-04,2023-06-29,66591,3,Yes,1
1078,Employee_78,Female,Operations,Logistics Coordinator,London,2016-02-25,,125243,3,No,4
1079,Employee_79,Male,Finance,Accountant,London,2017-10-31,,112616,1,Yes,4
1080,Employee_80,Male,Finance,Financial Analyst,Sydney,2016-09-13,2023-07-04,174403,3,Yes,2
1081,Employee_81,Male,Sales,Sales Rep,Toronto,2023-09-13,,109049,4,No,5
1082,Employee_82,Male,Finance,Accountant,Sydney,2021-11-02,,63006,2,Yes,3
1083,Employee_83,Male,Marketing,Marketing Manager,London,2016-12-12,,70517,1,No,4
1084,Employee_84,Male,Marketing,Content Strategist,Berlin,2017-08-06,2021-04-05,142141,4,Yes,2
1085,Employee_85,Male,HR,HR Manager,Toronto,2021-02-08,2023-04-09,169067,3,Yes,1
1086,Employee_86,Female,Sales,Sales Executive,Berlin,2019-12-04,2023-10-29,141715,4,No,5
1087,Employee_87,Male,Operations,Logistics Coordinator,Toronto,2021-09-15,,146276,3,No,1
1088,Employee_88,Male,Sales,Sales Executive,Sydney,2023-07-30,,85325,5,Yes,2
1089,Employee_89,Male,Finance,Accountant,Berlin,2021-07-25,,156724,4,Yes,4
1090,Employee_90,Female,HR,HR Executive,Berlin,2022-07-07,2024-10-22,93228,4,No,3
1091,Employee_91,Male,Marketing,Content Strategist,Sydney,2020-02-06,2023-06-03,92372,1,No,5
1092,Employee_92,Female,Sales,Sales Rep,Sydney,2019-08-20,,97419,5,No,4
1093,Employee_93,Male,Sales,Sales Executive,Berlin,2018-03-25,,141521,4,Yes,1
1094,Employee_94,Female,Marketing,Marketing Manager,London,2021-03-06,,62217,2,Yes,4
1095,Employee_95,Female,Sales,Sales Rep,London,2023-01-14,,104459,4,No,2
1096,Employee_96,Male,Finance,Financial Analyst,Toronto,2021-09-21,,165255,2,Yes,3
1097,Employee_97,Female,Finance,Accountant,Sydney,2024-03-14,,159769,5,No,2
1098,Employee_98,Female,Finance,Accountant,Berlin,2021-03-10,,99441,4,No,2
1099,Employee_99,Female,Marketing,Marketing Manager,Sydney,2017-08-14,,103841,1,No,4
1100,Employee_100,Male,Marketing,Content Strategist,Toronto,2020-07-21,,66547,5,No,1
1101,Employee_101,Female,Finance,Financial Analyst,Sydney,2015-03-04,,103736,2,Yes,4
1102,Employee_102,Female,HR,HR Executive,Sydney,2022-04-15,,161718,5,No,3
1103,Employee_103,Male,Marketing,Content Strategist,Sydney,2021-12-04,,79817,1,No,1
1104,Employee_104,Male,Marketing,Marketing Manager,Toronto,2022-10-13,2023-08-07,56028,3,Yes,3
1105,Employee_105,Male,HR,HR Executive,Toronto,2017-09-27,,124177,2,Yes,2
1106,Employee_106,Male,Sales,Sales Rep,Toronto,2020-07-31,,68758,2,No,3
1107,Employee_107,Female,Finance,Accountant,New York,2018-03-24,,70706,1,No,3
1108,Employee_108,Female,Operations,Logistics Coordinator,Toronto,2020-02-15,,76111,4,No,1
1109,Employee_109,Female,IT,Data Analyst,Sydney,2021-06-12,,52875,4,No,1
1110,Employee_110,Female,Operations,Operations Lead,Sydney,2024-05-04,,87512,2,No,2
1111,Employee_111,Female,Marketing,Marketing Manager,Sydney,2022-08-08,,150593,2,Yes,1
1112,Employee_112,Female,HR,HR Executive,New York,2023-03-19,,92823,4,Yes,2
1113,Employee_113,Female,IT,System Admin,Berlin,2024-04-24,,176796,3,No,1
1114,Employee_114,Male,Finance,Financial Analyst,London,2024-08-24,,138395,4,No,1
1115,Employee_115,Male,Finance,Financial Analyst,Berlin,2020-02-06,,148174,3,No,3
1116,Employee_116,Female,Sales,Sales Rep,London,2015-04-13,,173623,5,No,5
1117,Employee_117,Female,IT,System Admin,New York,2022-11-11,,65292,2,Yes,1
1118,Employee_118,Male,HR,HR Executive,New York,2017-08-19,,67781,4,No,3
1119,Employee_119,Male,Marketing,Content Strategist,Sydney,2024-12-05,,62978,4,No,3
1120,Employee_120,Male,Sales,Sales Rep,Berlin,2019-12-22,,80947,3,Yes,3
1121,Employee_121,Female,Operations,Logistics Coordinator,New York,2018-02-04,2019-12-16,174388,4,Yes,2
1122,Employee_122,Female,Marketing,Marketing Manager,New York,2017-09-24,,153150,5,Yes,1
1123,Employee_123,Male,Operations,Operations Lead,Sydney,2024-02-13,,93064,2,Yes,3
1124,Employee_124,Female,IT,Software Engineer,Sydney,2023-12-15,2024-09-25,67275,1,No,2
1125,Employee_125,Male,Operations,Logistics Coordinator,New York,2017-12-22,2023-03-10,118955,1,Yes,4
1126,Employee_126,Male,Finance,Accountant,Sydney,2020-01-26,,173917,5,Yes,5
1127,Employee_127,Male,HR,HR Executive,New York,2020-05-15,,105872,1,No,4
1128,Employee_128,Male,Sales,Sales Executive,Berlin,2015-09-27,2022-05-19,143343,3,No,5
1129,Employee_129,Female,Operations,Logistics Coordinator,Toronto,2016-02-11,,64996,5,Yes,4
1130,Employee_130,Female,Finance,Financial Analyst,Toronto,2024-04-12,,104524,1,No,4
1131,Employee_131,Male,HR,HR Executive,Berlin,2022-09-14,,58799,1,Yes,1
1132,Employee_132,Male,Finance,Financial Analyst,Berlin,2021-03-28,,123620,3,Yes,4
1133,Employee_133,Female,HR,HR Executive,New York,2021-09-25,2023-05-22,125748,5,Yes,2
1134,Employee_134,Male,Marketing,Content Strategist,London,2018-12-05,,98176,1,No,5
1135,Employee_135,Male,IT,Data Analyst,Sydney,2021-10-30,,158719,3,Yes,2
1136,Employee_136,Female,HR,HR Executive,Berlin,2015-01-26,2017-03-02,124228,4,Yes,2
1137,Employee_137,Male,Marketing,Marketing Manager,New York,2019-03-21,,94681,2,No,3
1138,Employee_138,Male,Marketing,Content Strategist,Sydney,2024-11-27,,148885,5,Yes,1
1139,Employee_139,Female,HR,HR Executive,Toronto,2021-10-22,,85804,2,Yes,3
1140,Employee_140,Female,Finance,Financial Analyst,Berlin,2020-11-28,,55952,2,No,5
1141,Employee_141,Female,Sales,Sales Executive,London,2017-05-15,,150160,3,No,3
1142,Employee_142,Female,Sales,Sales Executive,Toronto,2016-12-20,2023-06-08,142231,2,No,1
1143,Employee_143,Male,Finance,Financial Analyst,Toronto,2020-02-27,,162998,3,No,5
1144,Employee_144,Male,Finance,Accountant,Berlin,2019-07-18,2023-09-05,72527,5,No,3
1145,Employee_145,Male,Sales,Account Manager,New York,2019-11-20,,118676,1,No,3
1146,Employee_146,Female,Marketing,Content Strategist,London,2023-09-27,,132998,1,Yes,3
1147,Employee_147,Male,HR,HR Manager,London,2016-08-22,2019-01-29,128957,2,Yes,2
1148,Employee_148,Female,Marketing,Content Strategist,Toronto,2022-08-21,,123989,5,No,3
1149,Employee_149,Female,IT,Data Analyst,New York,2019-12-17,,154376,3,Yes,3
1150,Employee_150,Female,Operations,Operations Lead,Berlin,2020-01-26,2024-09-11,159012,3,Yes,1
1151,Employee_151,Male,Operations,Logistics Coordinator,Toronto,2020-01-17,,124928,2,No,5
1152,Employee_152,Female,Finance,Financial Analyst,New York,2016-02-28,,159756,3,Yes,5
1153,Employee_153,Male,Marketing,Marketing Manager,New York,2022-12-08,,107595,5,Yes,3
1154,Employee_154,Female,HR,HR Executive,Toronto,2023-09-08,2024-10-06,153445,3,Yes,3
1155,Employee_155,Female,Sales,Sales Rep,Toronto,2017-10-29,,136057,5,Yes,3
1156,Employee_156,Female,Sales,Sales Rep,London,2018-06-24,,141551,4,Yes,5
1157,Employee_157,Female,Marketing,Marketing Manager,Berlin,2022-03-20,,156585,2,Yes,4
1158,Employee_158,Female,Operations,Logistics Coordinator,New York,2018-06-19,2021-05-11,94791,4,Yes,2
1159,Employee_159,Female,IT,Software Engineer,New York,2024-06-20,,116543,5,Yes,3
1160,Employee_160,Female,Operations,Operations Lead,Sydney,2016-09-23,2019-01-29,144526,4,Yes,4
1161,Employee_161,Female,HR,HR Manager,Toronto,2023-06-09,,108841,2,Yes,3
1162,Employee_162,Female,Finance,Financial Analyst,Berlin,2020-03-06,,151990,4,No,2
1163,Employee_163,Female,IT,System Admin,London,2015-08-02,,164572,3,Yes,5
1164,Employee_164,Male,Sales,Account Manager,New York,2018-01-22,,117286,2,No,1
1165,Employee_165,Male,IT,Data Analyst,Berlin,2019-08-27,,99015,2,No,1
1166,Employee_166,Female,HR,HR Manager,New York,2016-02-10,,135191,3,Yes,2
1167,Employee_167,Male,Sales,Account Manager,Toronto,2023-07-06,,108799,5,Yes,1
1168,Employee_168,Male,Sales,Account Manager,London,2021-02-25,,129807,5,No,1
1169,Employee_169,Male,HR,HR Manager,Berlin,2015-07-15,2021-02-25,58232,1,No,5
1170,Employee_170,Male,Operations,Operations Lead,Sydney,2023-01-22,,50205,5,No,2
1171,Employee_171,Male,Operations,Logistics Coordinator,London,2020-11-14,,58870,5,Yes,4
1172,Employee_172,Female,Finance,Financial Analyst,Toronto,2017-11-04,,96805,1,No,2
1173,Employee_173,Female,Marketing,Marketing Manager,Sydney,2016-06-30,2023-02-10,94374,2,No,4
1174,Employee_174,Male,Marketing,Marketing Manager,London,2023-01-11,,109988,1,No,2
1175,Employee_175,Female,Sales,Sales Executive,New York,2018-06-24,,179646,5,No,3
1176,Employee_176,Female,Sales,Sales Rep,London,2019-01-02,,56265,3,No,1
1177,Employee_177,Female,HR,HR Executive,Toronto,2019-05-03,2021-12-03,115038,4,No,5
1178,Employee_178,Male,HR,HR Manager,Toronto,2019-10-30,,157785,2,No,3
1179,Employee_179,Female,Sales,Sales Executive,Berlin,2018-06-09,,144065,4,Yes,4
1180,Employee_180,Female,HR,HR Executive,New York,2021-11-23,,85986,1,Yes,4
1181,Employee_181,Male,HR,HR Manager,New York,2024-07-08,,152408,4,Yes,2
1182,Employee_182,Female,Sales,Sales Executive,Berlin,2019-04-18,,54244,5,Yes,4
1183,Employee_183,Male,HR,HR Executive,Toronto,2021-06-08,,102171,3,No,2
1184,Employee_184,Female,Sales,Sales Executive,London,2020-10-21,,123619,1,No,3
1185,Employee_185,Female,Marketing,Content Strategist,London,2022-10-13,,114382,2,Yes,2
1186,Employee_186,Female,Sales,Account Manager,London,2015-12-26,,176820,3,No,1
1187,Employee_187,Male,Operations,Logistics Coordinator,Berlin,2022-12-25,,141779,2,No,5
1188,Employee_188,Male,IT,Software Engineer,London,2017-08-27,,53445,3,No,4
1189,Employee_189,Male,Operations,Operations Lead,Sydney,2015-09-27,2021-08-06,118903,4,No,5
1190,Employee_190,Male,Sales,Sales Executive,Berlin,2020-01-18,,117811,3,Yes,5
1191,Employee_191,Female,Marketing,Marketing Manager,London,2020-08-21,,57263,1,Yes,3
1192,Employee_192,Male,IT,Software Engineer,Berlin,2018-11-18,,118012,3,Yes,3
1193,Employee_193,Female,IT,System Admin,Sydney,2016-05-27,,130534,5,Yes,5
1194,Employee_194,Male,Marketing,Marketing Manager,Sydney,2016-12-02,,144454,5,No,5
1195,Employee_195,Male,Sales,Sales Executive,New York,2022-03-12,,84688,2,No,5
1196,Employee_196,Female,Marketing,Marketing Manager,Toronto,2022-03-14,,113300,2,No,3
1197,Employee_197,Male,Finance,Financial Analyst,New York,2019-12-06,,110875,2,No,5
1198,Employee_198,Female,IT,Data Analyst,Berlin,2019-06-22,2024-02-13,117499,5,Yes,3
1199,Employee_199,Female,IT,Data Analyst,New York,2020-01-16,2021-08-14,56632,3,No,5
1200,Employee_200,Female,Finance,Financial Analyst,London,2021-06-24,,74881,2,No,5
1201,Employee_201,Female,Finance,Accountant,Berlin,2015-04-05,2020-02-28,116249,4,Yes,2
1202,Employee_202,Male,Operations,Logistics Coordinator,New York,2018-02-26,,165649,4,No,5
1203,Employee_203,Male,Sales,Sales Executive,Toronto,2024-11-23,,150120,4,No,1
1204,Employee_204,Male,Finance,Financial Analyst,Sydney,2019-01-24,,59637,4,No,5
1205,Employee_205,Male,HR,HR Manager,London,2019-06-02,,179340,3,No,2
1206,Employee_206,Female,IT,System Admin,Sydney,2020-08-10,2021-07-15,67961,3,No,5
1207,Employee_207,Male,Finance,Financial Analyst,Sydney,2018-09-05,,91750,2,No,5
1208,Employee_208,Female,Marketing,Content Strategist,Sydney,2020-09-08,,119774,4,No,4
1209,Employee_209,Male,Sales,Account Manager,Berlin,2019-09-03,,154432,1,No,3
1210,Employee_210,Female,Marketing,Marketing Manager,New York,2016-11-29,,144526,5,No,2
1211,Employee_211,Male,Marketing,Marketing Manager,New York,2017-02-20,2021-02-23,104890,2,No,2
1212,Employee_212,Male,Finance,Accountant,New York,2020-10-25,2024-12-14,136799,4,No,3
1213,Employee_213,Female,IT,Data Analyst,Sydney,2021-02-15,,151186,3,No,2
1214,Employee_214,Female,IT,Data Analyst,Sydney,2017-07-10,,178746,3,No,2
1215,Employee_215,Female,Marketing,Content Strategist,Berlin,2018-11-29,,172484,3,No,1
1216,Employee_216,Female,Operations,Logistics Coordinator,Toronto,2023-09-02,,88070,1,No,1
1217,Employee_217,Female,HR,HR Executive,Berlin,2017-05-26,2023-12-07,85537,5,No,2
1218,Employee_218,Male,Sales,Sales Rep,Sydney,2017-09-20,2024-03-02,79579,2,Yes,1
1219,Employee_219,Male,Finance,Accountant,Toronto,2022-08-22,,50679,5,Yes,4
1220,Employee_220,Male,Marketing,Content Strategist,Toronto,2023-06-24,,92096,3,Yes,1
1221,Employee_221,Male,Marketing,Marketing Manager,Sydney,2016-12-18,,159786,2,Yes,4
1222,Employee_222,Male,Finance,Financial Analyst,Berlin,2015-02-07,2016-10-18,171694,3,No,4
1223,Employee_223,Female,Marketing,Content Strategist,London,2018-01-22,2019-10-25,93343,2,No,3
1224,Employee_224,Female,Marketing,Marketing Manager,New York,2023-11-13,,73002,5,No,4
1225,Employee_225,Female,Operations,Logistics Coordinator,New York,2022-07-04,2024-07-28,112580,3,Yes,1
1226,Employee_226,Female,HR,HR Executive,London,2023-06-15,,89576,5,Yes,3
1227,Employee_227,Male,Marketing,Content Strategist,London,2022-06-28,,70934,4,No,1
1228,Employee_228,Male,Marketing,Content Strategist,Berlin,2017-06-16,,112676,2,No,5
1229,Employee_229,Female,HR,HR Executive,Sydney,2023-06-30,,137044,2,Yes,5
1230,Employee_230,Female,Sales,Sales Rep,Toronto,2015-11-16,,64707,1,Yes,5
1231,Employee_231,Female,Operations,Operations Lead,London,2024-07-31,,65235,2,No,1
1232,Employee_232,Female,Operations,Logistics Coordinator,New York,2016-06-24,,109873,5,Yes,5
1233,Employee_233,Female,Finance,Accountant,New York,2017-11-08,,147754,2,Yes,1
1234,Employee_234,Male,Finance,Accountant,New York,2015-10-10,,111875,1,No,4
1235,Employee_235,Female,IT,Software Engineer,Toronto,2024-12-29,,163982,4,No,1
1236,Employee_236,Male,Marketing,Marketing Manager,Berlin,2017-01-01,,101518,5,Yes,2
1237,Employee_237,Female,Sales,Sales Executive,Berlin,2022-07-21,,105591,5,No,2
1238,Employee_238,Male,IT,Data Analyst,Berlin,2018-02-03,2019-11-07,54222,4,Yes,2
1239,Employee_239,Male,IT,Software Engineer,New York,2020-01-03,,142181,1,Yes,1
1240,Employee_240,Male,Finance,Accountant,London,2023-06-17,,57398,2,No,2
1241,Employee_241,Female,Marketing,Content Strategist,Sydney,2017-08-28,2019-10-03,179197,5,Yes,4
1242,Employee_242,Male,HR,HR Executive,New York,2022-01-08,,122856,4,Yes,3
1243,Employee_243,Female,Marketing,Content Strategist,Sydney,2022-10-23,,69558,3,No,2
1244,Employee_244,Male,Operations,Logistics Coordinator,London,2018-05-16,,68920,4,Yes,5
1245,Employee_245,Male,Finance,Accountant,Sydney,2019-05-10,2022-02-15,93288,1,No,3
1246,Employee_246,Male,Sales,Sales Rep,London,2018-01-04,,129294,5,Yes,1
1247,Employee_247,Male,IT,System Admin,Sydney,2020-05-17,2024-08-07,89739,1,Yes,2
1248,Employee_248,Male,Marketing,Marketing Manager,Toronto,2022-10-20,,76805,4,Yes,5
1249,Employee_249,Female,HR,HR Executive,Toronto,2020-12-25,,90425,3,No,5
1250,Employee_250,Female,Finance,Accountant,New York,2023-07-17,,169843,2,No,3
1251,Employee_251,Male,Finance,Financial Analyst,Sydney,2023-04-25,,122523,5,No,3
1252,Employee_252,Male,IT,Software Engineer,Berlin,2019-04-05,,82208,4,No,3
1253,Employee_253,Male,Finance,Accountant,Toronto,2023-03-21,,72185,2,No,2
1254,Employee_254,Male,Operations,Operations Lead,Sydney,2024-05-29,,173887,1,Yes,4
1255,Employee_255,Male,IT,System Admin,London,2022-12-06,,116287,4,No,1
1256,Employee_256,Male,Operations,Logistics Coordinator,Toronto,2015-01-28,,103914,1,Yes,5
1257,Employee_257,Female,Marketing,Content Strategist,Sydney,2015-03-12,,141469,4,Yes,1
1258,Employee_258,Male,Sales,Sales Rep,London,2017-02-25,,83084,3,No,4
1259,Employee_259,Female,Sales,Account Manager,Toronto,2021-05-03,2024-05-12,89318,1,Yes,1
1260,Employee_260,Female,Finance,Accountant,Toronto,2015-08-18,,142123,2,Yes,4
1261,Employee_261,Male,Finance,Accountant,Sydney,2020-12-03,,80115,2,No,3
1262,Employee_262,Male,Sales,Sales Executive,Berlin,2017-01-04,,91220,1,Yes,5
1263,Employee_263,Male,IT,System Admin,Toronto,2018-05-10,2021-07-17,124277,4,No,4
1264,Employee_264,Female,Marketing,Marketing Manager,New York,2015-08-08,2018-09-11,159926,1,No,5
1265,Employee_265,Male,Operations,Logistics Coordinator,Berlin,2022-02-10,,114304,2,No,5
1266,Employee_266,Female,Finance,Accountant,London,2015-12-18,,88715,2,Yes,1
1267,Employee_267,Male,HR,HR Manager,Toronto,2023-04-18,,97277,1,Yes,1
1268,Employee_268,Female,HR,HR Executive,Berlin,2016-02-23,2018-09-27,106489,4,No,1
1269,Employee_269,Male,Sales,Sales Executive,Berlin,2021-09-11,,92523,4,Yes,3
1270,Employee_270,Male,Finance,Accountant,New York,2021-05-31,,139825,4,Yes,2
1271,Employee_271,Female,HR,HR Executive,Berlin,2016-08-20,2022-01-01,86170,4,No,4
1272,Employee_272,Male,Sales,Account Manager,Berlin,2023-01-31,,127831,5,Yes,4
1273,Employee_273,Male,Sales,Sales Executive,Berlin,2019-06-09,2024-03-10,155391,3,No,3
1274,Employee_274,Female,Finance,Financial Analyst,Berlin,2021-10-06,,76326,4,No,2
1275,Employee_275,Female,Finance,Accountant,Berlin,2021-06-16,,92714,4,No,4
1276,Employee_276,Male,HR,HR Manager,Sydney,2021-08-22,,73583,5,Yes,4
1277,Employee_277,Female,Marketing,Marketing Manager,Toronto,2024-04-27,,157343,4,No,2
1278,Employee_278,Female,Marketing,Content Strategist,London,2022-05-21,,153425,4,Yes,4
1279,Employee_279,Female,Operations,Logistics Coordinator,Sydney,2020-12-28,,170637,4,Yes,3
1280,Employee_280,Male,Marketing,Marketing Manager,New York,2022-05-17,,71802,5,Yes,5
1281,Employee_281,Female,Marketing,Content Strategist,Berlin,2016-03-09,2019-07-31,79098,5,Yes,4
1282,Employee_282,Male,HR,HR Executive,Toronto,2018-11-13,,113277,1,No,4
1283,Employee_283,Female,Sales,Sales Executive,London,2018-07-01,2021-04-23,118303,4,No,4
1284,Employee_284,Female,Sales,Account Manager,Toronto,2015-10-03,2017-07-15,52960,3,Yes,2
1285,Employee_285,Male,Marketing,Marketing Manager,Sydney,2021-03-10,,105885,4,Yes,4
1286,Employee_286,Female,Marketing,Marketing Manager,London,2019-06-09,2022-02-21,108926,5,No,4
1287,Employee_287,Male,Sales,Sales Rep,London,2018-02-14,,156001,1,Yes,5
1288,Employee_288,Male,IT,Data Analyst,Berlin,2020-02-18,,119168,3,No,5
1289,Employee_289,Female,Finance,Financial Analyst,Berlin,2024-06-25,,72613,3,Yes,2
1290,Employee_290,Female,HR,HR Manager,London,2016-04-24,2018-05-23,116954,4,No,5
1291,Employee_291,Female,IT,System Admin,Toronto,2017-01-30,,120435,2,Yes,4
1292,Employee_292,Female,HR,HR Manager,London,2024-06-10,,57026,3,Yes,4
1293,Employee_293,Female,IT,Software Engineer,Toronto,2019-08-03,,104477,4,No,2
1294,Employee_294,Male,Sales,Sales Rep,New York,2018-04-11,2021-04-15,120465,3,Yes,4
1295,Employee_295,Male,Operations,Logistics Coordinator,Sydney,2021-06-03,,157909,3,Yes,4
1296,Employee_296,Male,Operations,Operations Lead,Toronto,2023-04-03,,148480,2,No,1
1297,Employee_297,Male,Finance,Accountant,Berlin,2019-12-04,,65386,2,Yes,5
1298,Employee_298,Female,Marketing,Content Strategist,Sydney,2016-11-10,,152871,2,Yes,1
1299,Employee_299,Female,Operations,Logistics Coordinator,Sydney,2021-09-10,,92421,3,No,5
